id,product_id,robot_id,warehouse_id,current_zone,current_row,current_shelf,name,category,article,stock,min_stock,optimal_stock,status,created_at
ih_5e4d298a3794,26c88f2f-d08b-425c-9158-fa618a9370c9,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,F,Dell UltraSharp U2723QE,Мониторы,DEМО-375504,100,20,80,ok,2025-11-05 02:09:26.016052+00
ih_33e96cedfa8a,50d2595c-facf-4bfa-a1c3-bddb3abcdc09,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,B,OnePlus 12,Смартфоны,ONСМ-539898,100,20,80,ok,2025-11-05 02:09:33.28522+00
ih_b31dbb5786cf,d46a2f93-7b7b-4c07-841d-c693b27b6281,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,A,Asus Zenbook 14 OLED (UX3405),Ноутбуки,ASНО-343962,99,20,80,ok,2025-11-05 02:09:35.15542+00
ih_8f80ece80ab3,e9247ff6-ec11-4167-b876-18dbba8698ca,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,B,Xiaomi Redmi Note 13 Pro,Смартфоны,XIСМ-182627,100,20,80,ok,2025-11-05 02:09:42.467163+00
ih_d0f2b69c9742,e5157182-a738-4780-9219-15c4d2243fb1,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,12,B,Samsung Galaxy S24,Смартфоны,SAСМ-897549,100,20,80,ok,2025-11-05 02:09:44.971492+00
ih_c400d72c7076,0cb000ff-0363-416a-98db-fd6219a79605,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,100,20,80,ok,2025-11-05 02:09:54.079467+00
ih_874ca81bfa7a,ef365d0c-803e-40be-921d-b22b54707e7d,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,D,Logitech G502 X Lightspeed,Мыши,LOМЫ-399105,100,20,80,ok,2025-11-05 02:10:00.943842+00
ih_5c81e81a2204,4e5a9f30-f665-40a3-b15c-a6e9cf7250b6,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,A,Apple MacBook Pro 14 (M3),Ноутбуки,APНО-809570,99,20,80,ok,2025-11-05 02:10:09.91604+00
ih_a8c811a5171b,26c88f2f-d08b-425c-9158-fa618a9370c9,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,F,Dell UltraSharp U2723QE,Мониторы,DEМО-375504,100,20,80,ok,2025-11-05 02:10:19.226816+00
ih_28c935618139,50d2595c-facf-4bfa-a1c3-bddb3abcdc09,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,B,OnePlus 12,Смартфоны,ONСМ-539898,100,20,80,ok,2025-11-05 02:10:28.474963+00
ih_07c59b30a26b,d46a2f93-7b7b-4c07-841d-c693b27b6281,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,A,Asus Zenbook 14 OLED (UX3405),Ноутбуки,ASНО-343962,98,20,80,ok,2025-11-05 02:10:35.458238+00
ih_6d6a51b1c61e,1d542a0f-3efc-4023-b05a-97a1b23f98d5,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,13,F,Huawei 5G CPE Pro 2,Роутеры,CPE-1212,100,20,80,ok,2025-11-05 02:13:09.916325+00
ih_bffc83681aef,e9247ff6-ec11-4167-b876-18dbba8698ca,OB42,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,B,Xiaomi Redmi Note 13 Pro,Смартфоны,XIСМ-182627,99,20,80,ok,2025-11-05 02:13:21.676445+00
ih_b4c60cc5e70b,e5157182-a738-4780-9219-15c4d2243fb1,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,12,B,Samsung Galaxy S24,Смартфоны,SAСМ-897549,99,20,80,ok,2025-11-05 02:13:22.377959+00
ih_62fa5a7e719d,0cb000ff-0363-416a-98db-fd6219a79605,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,99,20,80,ok,2025-11-05 02:13:30.177285+00
ih_445ef4ca551e,ef365d0c-803e-40be-921d-b22b54707e7d,OB42,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,D,Logitech G502 X Lightspeed,Мыши,LOМЫ-399105,99,20,80,ok,2025-11-05 02:13:31.055799+00
ih_40edf87ce123,26c88f2f-d08b-425c-9158-fa618a9370c9,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,F,Dell UltraSharp U2723QE,Мониторы,DEМО-375504,99,20,80,ok,2025-11-05 02:13:39.591731+00
ih_f5659d23defc,4e5a9f30-f665-40a3-b15c-a6e9cf7250b6,OB42,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,A,Apple MacBook Pro 14 (M3),Ноутбуки,APНО-809570,98,20,80,ok,2025-11-05 02:13:39.868913+00
ih_f4ddb206acf3,50d2595c-facf-4bfa-a1c3-bddb3abcdc09,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,B,OnePlus 12,Смартфоны,ONСМ-539898,99,20,80,ok,2025-11-05 02:13:48.310707+00
ih_ac3e3c8f4c3f,d46a2f93-7b7b-4c07-841d-c693b27b6281,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,A,Asus Zenbook 14 OLED (UX3405),Ноутбуки,ASНО-343962,98,20,80,ok,2025-11-05 02:14:02.896443+00
ih_d1058fc38c01,1d542a0f-3efc-4023-b05a-97a1b23f98d5,KFKH,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,13,F,Huawei 5G CPE Pro 2,Роутеры,CPE-1212,100,20,80,ok,2025-11-05 02:18:14.094424+00
ih_121cea779ea4,e5157182-a738-4780-9219-15c4d2243fb1,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,12,B,Samsung Galaxy S24,Смартфоны,SAСМ-897549,99,20,80,ok,2025-11-05 02:18:26.577289+00
ih_2f0589ef1fbc,e9247ff6-ec11-4167-b876-18dbba8698ca,O840,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,B,Xiaomi Redmi Note 13 Pro,Смартфоны,XIСМ-182627,99,20,80,ok,2025-11-05 02:18:31.23097+00
ih_3af17639ac2d,ef365d0c-803e-40be-921d-b22b54707e7d,O840,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,D,Logitech G502 X Lightspeed,Мыши,LOМЫ-399105,99,20,80,ok,2025-11-05 02:18:40.006474+00
ih_750649807373,0cb000ff-0363-416a-98db-fd6219a79605,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,99,20,80,ok,2025-11-05 02:18:43.923239+00
ih_3d2a402346cf,26c88f2f-d08b-425c-9158-fa618a9370c9,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,F,Dell UltraSharp U2723QE,Мониторы,DEМО-375504,99,20,80,ok,2025-11-05 02:18:52.048453+00
ih_f6e1369c09db,4e5a9f30-f665-40a3-b15c-a6e9cf7250b6,O840,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,A,Apple MacBook Pro 14 (M3),Ноутбуки,APНО-809570,98,20,80,ok,2025-11-05 02:18:54.044973+00
ih_1dac9dd4b497,d46a2f93-7b7b-4c07-841d-c693b27b6281,O840,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,A,Asus Zenbook 14 OLED (UX3405),Ноутбуки,ASНО-343962,98,20,80,ok,2025-11-05 02:19:02.596261+00
ih_9a4c7c938a55,50d2595c-facf-4bfa-a1c3-bddb3abcdc09,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,B,OnePlus 12,Смартфоны,ONСМ-539898,99,20,80,ok,2025-11-05 02:19:06.340044+00
ih_adc37021d058,1d542a0f-3efc-4023-b05a-97a1b23f98d5,IQF9,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,13,F,Huawei 5G CPE Pro 2,Роутеры,CPE-1212,99,20,80,ok,2025-11-05 02:21:29.000706+00
ih_9e99200552e3,e5157182-a738-4780-9219-15c4d2243fb1,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,12,B,Samsung Galaxy S24,Смартфоны,SAСМ-897549,98,20,80,ok,2025-11-05 02:21:53.691107+00
ih_f4dbdf300a8f,e9247ff6-ec11-4167-b876-18dbba8698ca,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,B,Xiaomi Redmi Note 13 Pro,Смартфоны,XIСМ-182627,98,20,80,ok,2025-11-05 02:22:01.070135+00
ih_928def6cd906,ef365d0c-803e-40be-921d-b22b54707e7d,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,11,D,Logitech G502 X Lightspeed,Мыши,LOМЫ-399105,98,20,80,ok,2025-11-05 02:22:11.446242+00
ih_1d9be7731330,0cb000ff-0363-416a-98db-fd6219a79605,OB42,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,98,20,80,ok,2025-11-05 02:22:24.808832+00
ih_1f9387692c7a,26c88f2f-d08b-425c-9158-fa618a9370c9,PRTK,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,F,Dell UltraSharp U2723QE,Мониторы,DEМО-375504,98,20,80,ok,2025-11-05 02:22:33.694958+00
ih_64440edf,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,ok,2025-05-14T02:40:00+00:00
ih_c683bc26,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,ok,2025-05-15T00:15:00+00:00
ih_53b0238e,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,ok,2025-05-16T17:24:00+00:00
ih_1261b8da,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,ok,2025-05-17T04:49:00+00:00
ih_dd7c760a,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,ok,2025-05-18T20:20:00+00:00
ih_9ccb86a0,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,2,20,80,ok,2025-05-19T21:23:00+00:00
ih_73e668ed,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,12,20,80,ok,2025-05-20T00:24:00+00:00
ih_412afb45,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,2,20,80,ok,2025-05-21T17:44:00+00:00
ih_47c3b44c,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,1,20,80,ok,2025-05-22T22:31:00+00:00
ih_9248397a,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,11,20,80,ok,2025-05-23T08:54:00+00:00
ih_19725707,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,5,20,80,ok,2025-05-24T15:37:00+00:00
ih_93b88490,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,ok,2025-05-25T22:51:00+00:00
ih_6c627767,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,3,20,80,ok,2025-05-26T08:58:00+00:00
ih_0aaf392f,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,3,20,80,ok,2025-05-27T10:48:00+00:00
ih_ffe6a9af,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,3,20,80,ok,2025-05-28T16:02:00+00:00
ih_06c1bf85,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,2,20,80,ok,2025-05-29T14:33:00+00:00
ih_e8e91934,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,1,20,80,ok,2025-05-30T11:35:00+00:00
ih_ef1d2212,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,ok,2025-05-31T05:19:00+00:00
ih_12bd3a78,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,0,20,80,ok,2025-06-01T13:44:00+00:00
ih_4a9df50b,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,5,20,80,ok,2025-06-02T01:03:00+00:00
ih_49d06bb9,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,15,20,80,ok,2025-06-03T07:26:00+00:00
ih_5bebf711,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,17,20,80,ok,2025-06-04T03:29:00+00:00
ih_7f51cbfc,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,26,20,80,ok,2025-06-05T09:32:00+00:00
ih_25a2359d,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,30,20,80,ok,2025-06-06T09:38:00+00:00
ih_9f4b575d,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,31,20,80,ok,2025-06-07T16:05:00+00:00
ih_7a2d59c8,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,33,20,80,ok,2025-06-08T22:18:00+00:00
ih_550d71a0,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,35,20,80,ok,2025-06-09T15:41:00+00:00
ih_26334042,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,33,20,80,ok,2025-06-10T21:04:00+00:00
ih_2db2439f,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,24,20,80,ok,2025-06-11T22:42:00+00:00
ih_507a6b16,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,24,20,80,ok,2025-06-12T10:46:00+00:00
ih_e96284b0,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,21,20,80,ok,2025-06-13T19:29:00+00:00
ih_f7f730eb,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,14,20,80,ok,2025-06-14T04:51:00+00:00
ih_09ce54db,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,18,20,80,ok,2025-06-15T08:47:00+00:00
ih_fe67203c,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,22,20,80,ok,2025-06-16T03:19:00+00:00
ih_b6ae9c71,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,19,20,80,ok,2025-06-17T06:07:00+00:00
ih_f3bcedb2,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,26,20,80,ok,2025-06-18T00:10:00+00:00
ih_a16a6873,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,25,20,80,ok,2025-06-19T07:17:00+00:00
ih_8598457a,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,15,20,80,ok,2025-06-20T22:00:00+00:00
ih_75419bb7,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,21,20,80,ok,2025-06-21T21:20:00+00:00
ih_81ef8eae,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,22,20,80,ok,2025-06-22T18:46:00+00:00
ih_35c11548,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,22,20,80,ok,2025-06-23T14:52:00+00:00
ih_b13d999f,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,22,20,80,ok,2025-06-24T17:12:00+00:00
ih_b0cbd4b7,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,24,20,80,ok,2025-06-25T06:21:00+00:00
ih_0e1b03bb,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,28,20,80,ok,2025-06-26T14:23:00+00:00
ih_052d650d,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,29,20,80,ok,2025-06-27T13:27:00+00:00
ih_0705e41f,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,37,20,80,ok,2025-06-28T12:58:00+00:00
ih_60dd125d,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,38,20,80,ok,2025-06-29T11:32:00+00:00
ih_74581f3e,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,48,20,80,ok,2025-06-30T02:42:00+00:00
ih_cc08d513,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,47,20,80,ok,2025-07-01T03:21:00+00:00
ih_05b04db4,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,46,20,80,ok,2025-07-02T20:49:00+00:00
ih_9a9fcc08,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,58,20,80,ok,2025-07-03T03:06:00+00:00
ih_dbb24ea5,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,61,20,80,ok,2025-07-04T12:25:00+00:00
ih_4d0c05ce,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,58,20,80,ok,2025-07-05T11:47:00+00:00
ih_9f31cbd9,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,59,20,80,ok,2025-07-06T08:22:00+00:00
ih_4bafe952,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,61,20,80,ok,2025-07-07T05:27:00+00:00
ih_c71ab99d,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,62,20,80,ok,2025-07-08T05:14:00+00:00
ih_a168ab24,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,66,20,80,ok,2025-07-09T11:34:00+00:00
ih_b57b69bc,0cb000ff-0363-416a-98db-fd6219a79605,,68db2e0c-1613-41ae-a22c-4959cbb08fe6,A,10,D,Apple Magic Mouse 2,Мыши,APМЫ-272634,67,20,80,ok,2025-07-10T03:55:00+00:00
